experiment_id,base_feature,degree,min,max,mean,std,p95,p99,abs_max,amp_ratio_vs_x
ALL,bias,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ALL,directional_volume,1,-1.9913438003912423,1.3086780833639244,0.30925903910184127,0.5459723861606491,0.782582828416522,0.9739436018371582,1.9913438003912423,1.0
ALL,directional_volume,2,0.0,3.9654501313566355,0.3937269997161471,0.25921438567238536,0.6775169350110857,1.0576385641207933,3.9654501313566355,1.9913438003912423
ALL,directional_volume,3,-7.896574534837673,2.2412922418044103,0.15135355338106785,0.39517637651978726,0.4771715564045032,0.9238499225433839,7.896574534837673,3.9654501313566355
ALL,price_acceleration,1,-140421043670.4378,444412991.7075738,-514981328.2645695,7101759991.578529,0.001065783327040556,0.017271003474800904,140421043670.4378,1.0
ALL,price_acceleration,2,0.0,1.9718069505495e+22,5.07002007464466e+19,8.085393815872863e+20,2.422300811018564e-06,8525233332.2381525,1.9718069505495e+22,140421043670.4378
ALL,price_acceleration,3,-2.7688318991278413e+33,8.777285785901804e+25,-5.59512859291115e+30,1.0119387991013019e+32,1.2106169932743758e-09,5.151725502980034e-06,2.7688318991278413e+33,1.9718069505495e+22
ALL,price_displacement,1,-0.140421042223176,0.017701916366316118,0.00010623597356983803,0.007215257804419058,0.0018475235649513012,0.0023455071611499616,0.140421042223176,1.0
ALL,price_displacement,2,0.0,0.019718069099042976,5.2071231266310474e-05,0.0008085194485357454,3.5954241892148286e-06,7.010436045626342e-06,0.019718069099042976,0.140421042223176
ALL,price_displacement,3,-0.0027688318135162156,5.547034330224186e-06,-5.587967745422413e-06,0.00010119443672900223,6.306232224604732e-09,1.2903582110147911e-08,0.0027688318135162156,0.019718069099042976
ALL,price_velocity,1,-140421.04222317602,444.41378614505123,-514.9811348697499,7101.759931016362,0.0019576070903593312,0.0025721165662315843,140421.04222317602,1.0
ALL,price_velocity,2,0.0,19718069099.04298,50700199.68706124,808539363.8152395,4.066749006579411e-06,0.0003133578430400504,19718069099.04298,140421.04222317602
ALL,price_velocity,3,-2768831813516216.5,87773328.57099365,-5595128407939.683,101193876659416.97,7.501991850248685e-09,1.7016566674054523e-08,2768831813516216.5,19718069099.04298
ALL,price_velocity_x_acceleration,1,-0.6478263774469027,1.971806930226899e+16,20280080086694.69,511968055014905.7,8.213061676434269e-07,7.142200309099412e-06,1.971806930226899e+16,1.0
ALL,price_velocity_x_acceleration,2,0.0,3.888022570090828e+32,2.6252257100406828e+29,8.486452610208154e+30,1.0070371784490214e-12,1.5256735183442103e-10,3.888022570090828e+32,1.971806930226899e+16
ALL,price_velocity_x_acceleration,3,-0.27187913618263254,7.666429848583695e+48,4.1086025860999365e+45,1.60880098093815e+47,5.532620908938184e-19,3.6433096034587973e-16,7.666429848583695e+48,3.888022570090828e+32
ALL,relative_volume,1,0.0,1014.3453726593191,1.6867544535110393,29.797545103033134,1.2862427392409306,1.803089456225304,1014.3453726593191,1.0
ALL,relative_volume,2,0.0,1028896.535035373,890.7388347537334,30245.277615334067,1.6544203842500125,3.251131587150862,1028896.535035373,1014.3453726593191
ALL,relative_volume,3,0.0,1043656439.2583375,902622.9469909121,30679183.663577646,2.1194464495761745,5.862081085592758,1043656439.2583375,1028896.535035373
ALL,relative_volume_x_price_velocity,1,-244687.5835698596,871.5127052868045,-241.9961670491515,6051.374903387518,0.0015037754683593961,0.002280727515719847,244687.5835698596,1.0
ALL,relative_volume_x_price_velocity,2,0.0,59872013553.25702,36677700.366214775,1288121679.7891777,2.5988951994809227e-06,5.827374979411073e-06,59872013553.25702,244687.5835698596
ALL,relative_volume_x_price_velocity,3,-1.4649938319808342e+16,661943875.7599492,-7372658062834.748,306928553093422.4,3.376643310460823e-09,1.1863701373808413e-08,1.4649938319808342e+16,59872013553.25702
ALL,spread,1,0.020000000000010232,0.030000000000001137,0.024378378378384632,0.004622806865558023,0.030000000000001137,0.030000000000001137,0.030000000000001137,1.0
ALL,spread,2,0.00040000000000040925,0.0009000000000000682,0.0006156756756759415,0.0002308566952301339,0.0009000000000000682,0.0009000000000000682,0.0009000000000000682,0.030000000000001137
ALL,spread,3,8.000000000012278e-06,2.700000000000307e-05,1.6075675675684312e-05,8.773213390316922e-06,2.700000000000307e-05,2.700000000000307e-05,2.700000000000307e-05,0.0009000000000000682
ALL,spread_change,1,-0.009999999999990905,0.009999999999990905,1.0810810810800978e-05,0.0007710238134864098,0.0,0.0,0.009999999999990905,1.0
ALL,spread_change,2,0.0,9.99999999998181e-05,5.94594594593513e-07,7.419694243921646e-06,0.0,0.0,9.99999999998181e-05,0.009999999999990905
ALL,spread_change,3,-9.999999999972714e-07,9.999999999972714e-07,1.0810810810781313e-09,7.374293493518985e-08,0.0,0.0,9.999999999972714e-07,9.999999999981809e-05
ALL,volume_density,1,0.0,373965500093.44904,91114247022.51646,141450534504.8575,348794893653.30914,367815825881.8526,373965500093.44904,1.0
