experiment_id,feature,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,abs_max,non_finite_count,zero_count
ALL,ask,13875,99.51283790054539,116.49473096877539,103.53916675889653,102.84462143332574,3.4890310845770314,99.61034137639832,99.84859053442932,100.5424988268106,102.84462143332574,105.81143989317327,109.8963910770201,114.88046377647612,116.49473096877539,0,0
ALL,ask_size,13875,281.1885351593815,3125.149267500932,702.6369569150315,570.7150301392635,361.5781841890632,291.61002987679814,321.5293216233213,491.9334083231325,570.7150301392635,957.1926297124571,1549.4083490380365,1651.9443441883143,3125.149267500932,0,0
ALL,bid,13875,99.48283790054539,116.46473096877538,103.51478838051816,102.81962143332574,3.4880756596521607,99.58034137639832,99.81859053442932,100.51955006268734,102.81962143332574,105.78643989317327,109.87639107702009,114.85046377647612,116.46473096877538,0,0
ALL,bid_size,13875,230.06334694858484,2556.94030977349,574.8847829304804,466.94866102303376,295.83669615468807,238.590024444653,263.0694449645356,402.4909704461993,466.94866102303376,783.1576061283739,1267.6977401220297,1351.5908270631662,2556.94030977349,0,0
ALL,delta_price,13875,-0.140421042223176,0.017701916366316118,0.00010623597356983803,0.0006571642477875045,0.007215257804419058,-0.0018925444683002837,-0.001140720384389067,8.564785578711331e-05,0.0006571642477875045,0.0011814996902461722,0.0018475235649513012,0.0023455071611499616,0.140421042223176,0,15
ALL,directional_coherence_proxy,13875,0.0013347249399158572,4.9849386669756495,0.04177694789050086,0.012987550069221709,0.15730742941968046,0.0018777425431676963,0.00260769173957454,0.002897597103557889,0.012987550069221709,0.014750411600825372,0.1739882102726468,0.20638517136984502,4.9849386669756495,0,0
ALL,directional_volume,13875,-1.9913438003912423,1.3086780833639244,0.38657379887730153,0.6768731645244395,0.5854224523083783,-0.8388775072041188,-0.7251416408991433,0.46207844227275596,0.6768731645244395,0.7120363235718934,0.815173830045928,0.9857372791062844,1.9913438003912423,0,15
ALL,effective_mass,13875,0.40041748197475713,257.2228352159435,1.107971759168684,0.8342154232624239,8.42661374740851,0.4706605812562074,0.6545933710283451,0.7918639324161556,0.8342154232624239,0.8697956177914681,1.0117150578977372,1.2451469156491943,257.2228352159435,0,0
ALL,log_relative_volume,13875,0.19386734506323874,6.922984102227518,0.699193965694051,0.6917269148574513,0.2347345038796171,0.27985330047972434,0.5425786810421996,0.6610973831460379,0.6917269148574513,0.7235206527351901,0.8516614597649158,1.0547151857848716,6.922984102227518,0,0
ALL,perturbation_magnitude,13875,-1.3074783982567455e+35,1.916607462145932e+49,3.4221064109431536e+45,0.009101409439619587,2.3225572365962944e+47,-1.0255547188080817e+35,-1.3377987355622046e+33,-568556744.6701359,0.009101409439619587,410648650.0490019,4.18667079932801e+32,1.042391088587035e+35,1.916607462145932e+49,0,0
ALL,price,13875,99.49783790054539,116.47973096877539,103.52697756970734,102.83212143332574,3.488552639091961,99.59534137639832,99.83359053442932,100.53205006268735,102.83212143332574,105.79893989317327,109.8863910770201,114.86546377647612,116.47973096877539,0,0
ALL,price_acceleration,13875,-140421043670.4378,444412991.7075738,-514981328.2645695,-9.642837380221059e-06,7101759991.578529,-0.017702189772043568,-0.0010887847168086905,-0.000364846198197036,-9.642837380221059e-06,0.0003789871491218695,0.001065783327040556,0.017271003474800904,140421043670.4378,0,15
ALL,price_velocity,13875,-140421.04222317602,444.41378614505123,-514.9811348697499,0.0006384969944163646,7101.759931016362,-0.0018925444683002837,-0.001140720384389067,8.980981599934089e-05,0.0006384969944163646,0.0011704933785247579,0.0019576070903593312,0.0025721165662315843,140421.04222317602,0,15
ALL,raw_volume,13875,511.2518821079663,5682.089577274422,1277.5217398455115,1037.6636911622973,657.4148803437512,530.2000543214511,584.5987665878569,894.4243787693317,1037.6636911622973,1740.350235840831,2817.106089160066,3003.5351712514803,5682.089577274422,0,0
ALL,reinforcement,13875,-1.916607462145932e+49,1.3074783982567455e+35,-3.4221064109431524e+45,0.26282988930040624,2.3225572365962944e+47,-1.042391088587035e+35,-4.186670799333005e+32,-410648649.7340019,0.26282988930040624,568556744.8351359,1.3377987355583547e+33,1.0255547188080817e+35,1.916607462145932e+49,0,0
ALL,relative_volume,13875,0.21393523777255094,1014.3453726593191,2.108443066888799,0.9971614847950514,33.30132146440821,0.3229357240653809,0.7204376068320498,0.9369167083137614,0.9971614847950514,1.06167890384681,1.3435373120611176,1.8711572910270342,1014.3453726593191,0,0
ALL,signal_density,13875,0.0013347249399158572,4.9849386669756495,0.04177694789050086,0.012987550069221709,0.15730742941968046,0.0018777425431676963,0.00260769173957454,0.002897597103557889,0.012987550069221709,0.014750411600825372,0.1739882102726468,0.20638517136984502,4.9849386669756495,0,0
ALL,spread,13875,0.020000000000010232,0.030000000000001137,0.024378378378384632,0.025000000000005684,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0,0
ALL,volume_density,13875,1010.781458664871,373965500093.44904,113892808778.1456,12486.306669579757,149719747399.47403,1013.437862981695,1022.0672546456033,6444.544745037217,12486.306669579757,287898812491.0613,352003423376.4119,368959972024.42163,373965500093.44904,0,0
ALL,volume_x_displacement,13875,-0.14166799310702044,0.023166109982139062,5.040331151319936e-05,0.00044073674127852945,0.005868990436232307,-0.0012917793184225664,-0.0007781083344343454,5.548566946495693e-05,0.00044073674127852945,0.0007805972190323379,0.001286582203299404,0.0015777256087232544,0.14166799310702044,0,15
